点号,左影像行号,左影像列号,右影像行号,右影像列号,X坐标,Y坐标,Z坐标
1,58,4339,130,546,396950.145925913,3555642.68765048,38.9805958700801
11,1683.5,4388.25,1750,576,396960.902065388,3555112.47728544,54.8779786020532
21,16973.75,4424,16995,615,396909.131488429,3550330.77146881,29.8838520168707
31,15894.25,4293,15919,494,396871.517967848,3550658.96240449,22.4644096383319
41,17050.75,6533,17064,2703,397563.414011507,3550307.74052811,38.2996852601907
51,9924.5,5929,9960,2102,397408.488245344,3552513.6093107,48.6906214659677
61,9128,10970.75,9148,7138,398988.9484949,3552738.89895481,25.6673069529555
71,3118.75,11039.5,3156,7212,399049.677553706,3554631.01998321,28.1747736475752
81,3230.25,10499,3270,6669,398876.999265163,3554595.76026389,34.1514853867228
91,7588,3902,7638,125,396779.134697383,3553256.12543959,14.9819155663371
101,4462.75,4737,4519,936,397058.073327145,3554236.39182073,38.1275841731102
